Timestamp,Card_Label,Rank,Suit,Confidence,BBox
2025-06-24T18:00:25.791Z,Jc,Jack,Clubs,96.99%,"[614.7593383789062,229.74559020996094,656.5,311.2063903808594]"
2025-06-24T18:00:55.306Z,Jh,Jack,Hearts,72.70%,"[764.6185302734375,381.7482604980469,794.5957641601562,446.837646484375]"
2025-06-24T18:00:55.306Z,Jd,Jack,Diamonds,70.90%,"[605.8986206054688,191.1153106689453,641.7384643554688,249.23486328125]"
2025-06-24T23:42:23.487Z,Jh,Jack,Hearts,93.83%,"[518.8190307617188,737.769287109375,566.9931640625,855.1790161132812]"
2025-06-24T23:44:37.674Z,Jh,Jack,Hearts,89.99%,"[219.20375061035156,389.4216613769531,264.2414245605469,493.5970764160156]"
